SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,COUNTY
PAST SALE,,Single Family Residential,560 Brooklyn Mountain Rd,Hopatcong,NJ,07843,200000.0,,,,748.0,12900.0,1948.0,,267.0,,,,,https://www.redfin.com/NJ/Hopatcong/560-Brooklyn-Mountain-Rd-07843/home/37725835,,,N,Y,40.9373422,-74.6708166,Sussex
PAST SALE,,Single Family Residential,18 Madison Dr,Ogdensburg,NJ,07439,200000.0,,,,1128.0,15002.0,1962.0,,177.0,,,,,https://www.redfin.com/NJ/Ogdensburg/18-Madison-Dr-07439/home/37744844,,,N,Y,41.0666179,-74.6005408,Sussex
PAST SALE,November-26-2019,Single Family Residential,37 ALEXANDRIA Ave,Hopatcong Boro,NJ,07821,200000.0,3.0,2.5,Hopatcong Boro,,10018.0,,,,,Sold,,,https://www.redfin.com/NJ/Hopatcong-Boro/37-Alexandria-Ave-07821/home/144308695,GSMLS,3548323.0,N,Y,40.972919,-74.636138,Sussex
PAST SALE,,Single Family Residential,11 Sweetwater Ln,Hamburg,NJ,07419,204000.0,,,,1289.0,2396.0,1999.0,,158.0,,,,,https://www.redfin.com/NJ/Hamburg/11-Sweetwater-Ln-07419/home/37873395,,,N,Y,41.1479059,-74.6005686,Sussex
PAST SALE,,Single Family Residential,10 Westbrook Rd,Newton,NJ,07860,200000.0,,,,2738.0,21253.0,1990.0,,73.0,,,,,https://www.redfin.com/NJ/Newton/10-Westbrook-Rd-07860/home/37691669,,,N,Y,41.0556441,-74.7949618,Sussex
PAST SALE,,Single Family Residential,1 Elm St E,Highland Lakes,NJ,07422,200000.0,,,,643.0,4356.0,1957.0,,311.0,,,,,https://www.redfin.com/NJ/Highland-Lakes/1-Elm-St-E-07422/home/167663957,,,N,Y,41.1791767,-74.4538999,Sussex
PAST SALE,September-18-2020,Single Family Residential,185 LIBERTYVILLE Rd,Wantage Twp.,NJ,07461,203000.0,3.0,1.0,Wantage Twp.,,238708.0,,,,,Sold,,,https://www.redfin.com/NJ/Wantage/185-Libertyville-Rd-07461/home/172610363,GSMLS,3651909.0,N,Y,41.238284,-74.653672,Sussex
PAST SALE,,Single Family Residential,50 Main St,Stanhope,NJ,07874,200000.0,,,,1930.0,2226.0,1900.0,,104.0,,,,,https://www.redfin.com/NJ/Stanhope/50-Main-St-07874/home/37781277,,,N,Y,40.9023598,-74.7084935,Sussex
PAST SALE,,Single Family Residential,3 Bridge Trl,Byram Township,NJ,07821,200000.0,,,,920.0,5968.0,1965.0,,217.0,,,,,https://www.redfin.com/NJ/Byram-Township/3-Bridge-Trl-07821/home/37679343,,,N,Y,40.9540326,-74.7380764,Sussex
PAST SALE,February-10-2021,Single Family Residential,5 CONSTITUTION Way #5,Franklin Boro,NJ,07416-2147,204000.0,3.0,1.5,Franklin Boro,,435.0,,,,,Sold,,,https://www.redfin.com/NJ/Franklin/5-Constitution-Way-07416/unit-5/home/174422079,GSMLS,3662876.0,N,Y,41.1199378,-74.5760887,Sussex
PAST SALE,,Single Family Residential,35 Reinhardt Rd,Montague,NJ,07827,200000.0,,,,1056.0,32670.0,1998.0,,189.0,,,,,https://www.redfin.com/NJ/Montague/35-Reinhardt-Rd-07827/home/37733718,,,N,Y,41.3229541,-74.7058487,Sussex
